s.no;Random;age;department_name;class_name;clothing_id;alike_feedback_count;rating;recommend_index ;review_text
14116;0,0105140700371595;30;Bottoms;Jeans;1038;0;4;1;Overall, very nice pair of boyfriend style jeans. super comfy. i asked one of the in store stylist for help styling them- she was very helpful and showed me lots of possibilities for these pants. also good for a post-partum tummy :)
399;0,0105970628875857;50;Tops;Knits;867;2;5;1;"I ordered this top (black) in both small and medium; i can get usually away with small at retailer but am size medium in all other stores. as soon as i received the package and opened it up, i knew i would keep this top. it has a gorgeous texture to it, a slight sheen, and is well made. it's extremely comfortable as a t-shirt would be, but has more structure and looks very chic. the waist nips in just enough to give the flutter hem a little flare at the hips and is very feminine. i have a long tor"
22813;0,0106000846394755;27;Intimate;Swim;522;0;4;1;These bottoms are very cute but defiantly cheeky! i would recommend sizing up if you want to have more coverage.
4047;0,0106017466660442;41;Tops;Blouses;834;3;5;1;This is such a pretty top.  i love the mix of patterns. the colors are beautiful!  it really looks great on.  the peplum is very minimal in this top.  the entire top itself is somewhat oversized, but in a pretty way.  i bought this in a large and probably could have gone with a medium, but didn't want the length to be any shorter, so i'm sticking with the large.  for reference,  i'm 6ft and 175lbs.  i usually wear a size 10/12 or medium/large.  also, i didn't notice a puckering between the two m
5326;0,0106262697779612;29;Tops;Blouses;829;0;4;1;I ordered this shirt, aware of what the other reviewers said about it being tight in the chest. it's true- it's a bit restrictive if you need full-range of motion for your shoulder blades, but if you're not planning on doing any heavy-lifting or sporting events in this top, it's just fine (disclaimer- i am small-chested). i will stick by my tts, though, because it was the right fit, despite being restrictive. i was worried the top was going to be a 'hard' jean, but it wasn't. it was nice and sof
21092;0,0106263559088566;29;Tops;Knits;872;0;5;1;Super comfortable!! i am 34 weeks pregnant and i works great for me now and i think it will be perfect post baby also!
11885;0,0106457254270743;46;Dresses;Dresses;1081;0;4;1;This dress' style and color is very flattering. i think i will wear it in the spring and fall as well as the winter.the m fits me and i'm 5'8' and 140 pounds.
16290;0,0106791544977448;43;Bottoms;Jeans;1022;1;5;1;"I'm a big ag fan, so i was excited to receive these for my birthday. i really love everything about them, but boy were they long!! even with a 3 inch heeled boot i was stepping on the hem. i'm 5'7"", so i don't often have to get things hemmed, but that was a must with these jeans. i recommend these jeans, but unless you're 6 foot tall, plan on running them to the tailors."
16738;0,0108945957706301;54;Intimate;Swim;79;0;5;1;"I managed to find this huit eden lagoon fixed straps foam bandeau swimsuit in a size 32c and it fits perfectly. my current measurements are 33-25-37 or 38 hips, and i normally wear a 30d or 32c bra.
.
i have a longish torso, yet this doesn't ride up. fits like on the model. there is a thin strip of silicone around the back to keep it from sliding down. the v-shape is held by a hard wire, but it doesn't cut in anywhere. the soft black straps are sewn in and not adjustable but do hold their shap"
7616;0,0109447813065105;56;Bottoms;Skirts;995;7;5;1;I bought this skirt in the blue motif in my usual size large. it is very comfortable, light and it is lined! i wore it with a navy cotton lace meadow rue top from last year, gold gladiator sandals and a long gold retailer necklace.
5536;0,0109908650110506;41;Bottoms;Skirts;995;11;2;0;This skirt is very short. i ordered my usual xs petite and it was so short that the longest part ended above my ankle. that's quite off because i'm only 5 feet tall, and i wore it pretty low on the hips. it also flares out awkwardly below the knee. there are 2 vertical seems and they exacerbate the jagged appearance of the hem. i was drawn to the edgy style shown in the photo but in person it looks like my 5 year old cut up a skirt. plus, the fabric--while thick and beautiful and stretchy--has a
14484;0,0110536666441305;32;Dresses;Dresses;1095;0;5;1;"I tried this dress at a store today and ended up ordering it online. i tried the red which is a beautiful, vibrant color. i wasn't sure how it looked on my skin tone though (pale like death), so i ordered the black. i do believe it runs small in the chest and shoulders. i am normally a size 4 in shirts, but the buttons were straining over my chest and my shoulders felt constricted. i tried the 6 and it was plenty roomy. for reference, i am a 32c with athletic shoulders. overall...

pros:
-an"
16497;0,0110813463921184;32;Tops;Blouses;828;1;3;1;I bought this tank for work, but the color of the print is slightly muted compared to the photo. i usually wear a xxs or xs (i am 100 lbs, 5'1) and i got the xs thinking it will be loose, which i wanted. the arm holes were down to my waist, and it was also unusually wide. the quality of the fabric is nice though, not to heavy and not too thin.
18329;0,0110816377673552;49;Bottoms;Skirts;993;0;5;1;I wanted a casual, denim colored skirt for warmer weather without the denim weight  and this skirt fit my needs perfectly.  i'm 5'4, 117lbs and the xs fits me true to size, hitting about 1 1/2 inches above the knee. it's a more modest length for daytime but it definitely needs a slip underneath. the raw edge is subtle (no hanging threads) and unique. i can't speak to the lack of colorfastness but i washed it separately and will be mindful of the possibility .
1338;0,0110877157996224;32;Bottoms;Jeans;1037;0;4;1;This is my 4th pair of these printed cords and they are beautiful- the color says navy but these are definitely black with a grayish print. very stretchy all over except for the waist band which is a little uncomfortable but it might loosen up some. i wish the rise on these was a little higher. also worth noting is that the design on larger sizes won't look exactly like the picture- my size 33's have the floral scroll print up the front and the back, but also the cut has the scroll print running
13523;0,011201541704941;64;Bottoms;Jeans;1037;1;4;1;These corduroys are comfortable and fit true to size. (i am just over 5 feet tall, 106 lbs, with long legs for my height, and the 25 fits really well.) they wash and dry well, with minimal (if any) shrinkage, as long as you use low temperatures. i gave them 4 stars, instead of 5, because i feel the material could be more substantial than it is. the green is actually a very attractive mossy brown.
13813;0,0112023755995934;73;Bottoms;Pants;1052;2;5;1;"I've never owned a romper before but after trying it on at the store, i fell in love! i'm pear-shaped 5""4 at 185#. i got a med and it fits beautifully with just enough room to not be baggy. i got the red mitif. super flattering."
11369;0,0112921770482566;46;Tops;Fine gauge;904;3;3;0;I really like the idea behind this top, but at least for me, the execution wasn't quite there. i was hoping it would be something i could wear to work, but the sheerness of the sides makes it in appropriate for my workplace (when it gaps/you move, you can see a lot). if you don't move, the front panel is pretty opaque, which is good. i think it would look odd with a cami underneath and i don't feel comfortable with the sheerness, so i returned it. i also thought the finish on the sleeves looked
22723;0,0112951650007187;45;Tops;Knits;860;2;1;0;Saw this on the sale rack and decided to try on. i looked like the dancing hypos in the movie fantasia. i am petite and not heavy but this is for very slim and tall people. too much fabric in the peplum part.
16723;0,0113341384446291;58;Bottoms;Pants;1059;0;5;1;I tried these on in the store and didn't buy them with the other items in my 'yes' pile. i couldn't stop thinking about them and ended up ordering them. they are so cute. the fabric is a nice weight. they have little stretch.
13418;0,0113831243758078;36;Intimate;Lounge;727;1;3;0;I ordered a small and i'm usually always a small. i could not zip it up. i'm am returning it for a large, and this is concerning because what if it is big in a weird way because i'm usually a large?
12353;0,0113975982341777;57;Bottoms;Skirts;997;3;1;0;I wish i had read the reviews prior to purchasing. this skirt looks amazing in photos and lace appears black. the lace on mine is actually purple - at first i thought it was just purple due to lighting with red underneath - but nope - pull the netting away and it is purple. lace netting hikes up on the right due to poor craftsmanship. i ordered a medium and felt it was a bit large. will return.
2684;0,0114090293140459;26;Tops;Knits;867;0;4;1;I purchased this top in the taupe color, and it is much prettier in person than it photographs online. it runs about a half size too large, and sits slightly off the shoulders. fun casual top for the fall.
20591;0,0114427820307751;26;Tops;Blouses;849;1;4;1;This top is very pretty and looks so good with the blue flower skirt. unfortunately it runs very small. it fit my bust but would not go down. i imagine it would look better on a much slender frame, but since it fit my bust i wonder if the armholes are too big or it maybe a bit loose at the top. i like the style and design a lot, very dressy, but the buttons at the top are a bit hard to put on and remove. since this is turtleneck, every time you wear it the buttons have to come on and off. the bu
10253;0,0114927893922529;39;Dresses;Dresses;1084;0;2;0;This looked nothing like the picture on me. was long and very unflattering. belled out greatly at the bottom also. the material was thick which is why i give it three starts for quality. but overall awkward.
21009;0,0115183199028931;26;Dresses;Dresses;1107;1;4;1;This is a beautiful knit dress, however it runs large, so be wary. for reference i am a 34d, 28 inch waist, and 41 inch hips. i ordered a medium because dresses usually run tight around my bum, and it was very, very big. i'm hoping the small is much more flattering because the quality of the knit is very nice.
19721;0,0115903218137403;35;Dresses;Dresses;1088;0;5;1;"I like the edge of this dress and it balances my narrower hips well. i'm usually between 0p and 00p in retailer dresses and xxsp definitely fit better on my 5'1"" frame (armpits and knee-length where it should be)

love that it's machine washable and unusual. super soft and beautiful color even though i normally gravitate to cooler colors.

bring it on everleigh!"
64;0,0115925285651076;34;Tops;Blouses;820;9;5;1;The material this top is made of is extremely comfortable and flattering for my body type.  i normally wear 12/14 and 12 fit great (if you have a d or bigger you may need a bigger size) spillage is possible with wrong size lol.
14061;0,01160895177077;53;Bottoms;Pants;1053;2;3;1;These looked super cute online and i was excited about getting them. i wanted that slightly baggy look to be able to carry them off similar to the model. so i referred to the size chart and ordered the size that said it would allow this. based on the size chart for this item...it is wrong. i should have had extra room. instead they were tight around the hips. i measured my hips before ordering and i am a seamstress....so i know where and what to measure. this is a nice quality product though...j
20642;0,0117329065206717;54;Bottoms;Skirts;1002;2;2;0;I loved this skirt. so flattering and such a beautiful fabric. unfortunately after only 2 wears, the waistband stretched out so much that it was falling off me (literally). i bought the right size and it was not too tight. the waist band material simply lost its stretch very quickly. very disappointing.
13898;0,0117720248413464;36;Jackets;Outerwear;1123;0;5;1;"I love this jacket. i have not worn it yet, as the weather is still very warm, but i am looking forward to wearing this a lot this fall. the cropped cut is very flattering and the vegan leather very soft, i followed the other reviews and ordered one size up and it;s perfect. i am normally a size 4 and went with he medium. the plum color is quite neutral in person. i also love the printed lining. i did notice quite a few long threads around the lining sewing, i hope this is just an overlooked pos"
9592;0,0118055608887001;37;Tops;Knits;875;2;2;0;I really wanted to like this top, but unfortunately it is not as pretty or flattering in person. the yellow looks dirty in real life, not pretty like the picture. it is also a strange fit/shape when it is on. i tried it on in the store and did not like it at all.
519;0,011816092054534;56;Tops;Sweaters;940;8;5;1;This sweater in the yellow caught my eye several times and i finally tried it on! so cute and perfect for transitional weather. threw it over the striped top that was hanging in the changing room. ended up with both!
15302;0,0118775911424564;59;Bottoms;Pants;1070;2;5;1;"I purchased all 4 of the color/pattern offered. all fit beautifully and have washed up great with no shrinkage with line dry. the only pair i had retuned were the blue motif because they were made from a very different material with not near as much stretch and felt much smaller to me and not as comfortable. the pattern was cute and may work just fine with those who have a different build. i felt these were in general true to size. no doubt i will wear these all winter!
thanks antro!!"
23101;0,0119082277795128;40;Dresses;Dresses;1104;0;5;1;This dress is fantastic. super flattering and unique. i get a compliment every time i wear it. i encourage retailer to source more dresses from this brand/designer. lovely. i am picky and nevery give a perfect rating, this dress got all 5 stars.
3475;0,0119172095709449;29;Dresses;Dresses;1092;1;3;0;I love, love, love this absolutely stunning dress. the only problem was that the zipper was very difficult to maneuver, and when it finally went up, the watch it was attached the lining of the dress made a bump in the dress, which was very unflattering on an otherwise very flattering dress. i tried on multiple versions of this dress and had the same design issue with each. i ended up returning it because it bothered me so much.
18624;0,0120902577939494;45;Dresses;Dresses;1081;23;3;0;I was so excited to try this on after having discovered it on the retailer app and stepping into the store and seeing it. on the hanger it looked alright, but once i slipped it on, it's like everything i've got going for me disappeared. granted, i'm s little bottom heavy, so these types of dresses don't typically flatter my body type anyways.
4094;0,0120927447129307;25;Dresses;Dresses;1078;0;5;1;"I am so glad i returned this dress for a size down. i am 5'10"", and 160 lbs (curvy and muscular build), and the medium was surprisingly much too large on me. i returned it for a small, and oh my, it is perfect. i plan on wearing this to two summer weddings this year, and will then wear it for work. it really is a go-anywhere-do-anything sort of dress."
21950;0,0121282746605401;49;Tops;Fine gauge;907;6;4;1;"I'm about 5'9"" and this sweater was too short for me. the arm length was great but the overall length was just too short :-( i'll be returning this one."
13953;0,012140373681421;43;Dresses;Dresses;1110;9;5;1;"I purchased this dress in the berry color. it is beautiful and feminine. the length fit just like in the picture. i love all the detail and ease of this dress. i'm 5'2"" 34d and purchased a size 2. it fits true to size."
19888;0,0121849729208642;64;Dresses;Dresses;1110;3;5;1;I needed a pink dress for a local breast cancer awareness luncheon. this is a perfect fit for the occasion!
79;0,0122237523926063;40;Tops;Knits;867;3;4;1;This is theoretically a great summer top addition to your wardrobe. i love the floral print - it's bold and lively primary colors on a black background. i'm usually a size small in retailer tops and neither the small nor the medium fit me very well. the small was a bit too fitted everywhere and strangely, the medium gapes at the front when i'm sitting but not standing (i'm 34b otherwise height-weight proportionate with broad shoulders). another reviewer mentioned a design flaw - the floral print i
9717;0,0122260559409982;46;Dresses;Dresses;1075;4;5;1;This is a super comfortable and flattering dress and i get compliments every time i wear it! highly recommend!
2641;0,0122791183503645;38;Tops;Knits;867;0;4;1;Love the coral color of this shirt. only wish it was a little longer in the front. falls right to my jeans waistline.
2717;0,0122855123228237;46;Tops;Blouses;831;2;4;0;I want to love this top - it is so pretty, but i find the fit very odd. i think it runs big, but the arm holes seem to be cut really low. i would love to size down, but then i think the sleeves would be off. unfortunately, i will have to return it.
17841;0,0123354367901162;52;Intimate;Lounge;774;1;3;0;I thought i might like the look of this oversized odette dress but after i tried it on i felt it was not a flattering style on me. the color was pretty and fabric was nice - just not a fit for me.
2957;0,0123472977247424;59;Tops;Blouses;823;2;5;1;Beautiful beautiful beautiful! goes great with pilcro stet big rise grey jeans and deep green hei jeans. i wear this on shoulders vs off. so lovely . beautiful rich earth tone colors and live the lace bottom. can dress up with black skirt or black skinnies and heels. highly recommend.
16272;0,0123826287288022;68;Tops;Blouses;835;3;5;1;I bought this top in a large. i washed it in cold water, and it shrank just enough to flatter. the material is great, in that when i washed it, the blouse hanged quite nicely, no ironing needed. also, the material is heavy enough that no tank is needed underneath the top. thakoon had made the same top last summer, and it had cost around $500. this top is even better due to the material, and i could buy it for a fraction of the price. highly recommend!
13618;0,0124083201979351;64;Tops;Blouses;828;3;5;1;Adorable... too chilly now to wear alone & too cute to cover it up! my navy parka or jean jacket will prob be ok w/ it though. size 6 fits me perfectly & looks pretty much on me as in the pic. love plaid & cotton blend tops anyways. ruffles - adorable, & i'm not too big on that but do love this look. when i first removed this top from the packaging it had an odd 'smoky'-like odor, but it's the dye i think. after hanging it for a few days the smell disappeared. i have in mind to wear w/ the pilcr
19267;0,0127864290430097;35;Bottoms;Skirts;1009;6;5;1;"Aside from the beautiful colors what drew me to this skirt is the wide waistband! i love that it can hold in a bit of a tummy and accommodate a belt (or not). when i received this in the mail a few days ago i immediately started pulling articles of clothing out of my closet to go with the skirt - a striped tee, chambray top, belt, denim jacket. the quality is great and it has pockets. i have a 30"" waist and went with my usual size 8. i am 5'5"" and ordered a petite. so it hits a couple inches abo"
8304;0,0127947638793017;40;Bottoms;Pants;1051;0;4;1;Pants were super comfortable. a little too large. and the fabric was a little too heavy. i sent them back, and i'm regretting it now that they're completely unavailable.
20550;0,0128200408583943;39;Bottoms;Skirts;1008;20;5;1;"The skirt material is super comfortable. hte cut is also pretty flattering, i don't hink this picture does the skirt justice. the regualr size was a little long on me, i would order a petite (if like me, you are 5'1.5""#, went xs #at 115 lbs). the skirt is also a bit stretchy, not stiff.

color is way prettier in person, i never looked twice at th skirt online, but in the store, it looked myuch prettier."
19642;0,0128484289247369;56;Dresses;Dresses;1078;0;4;1;Perfect length and colors. i get asked where i got it on the reg, every time i wear it. mostly a casual vibe with flat sandals...
17116;0,0128503197035983;38;Tops;Fine gauge;895;0;5;1;Fit is perfect. body slimming. i'm glad i purchased it.
23022;0,0128930151177219;45;Bottoms;Jeans;1022;0;4;1;Loved the fit of these jeans and the fading but the ripping was too much for me at my age. i normally wear petite but since these are mid rise ankle just ordered in 27 regular. so the ripping was right at my knee and did not like that.
631;0,0128986996329624;40;Dresses;Dresses;1078;1;5;1;"The patters/colors on this dress are much more stunning in person. it is lined and feels very well made. the pockets don't add bulk to the hip area as many times they do, which is great. the fit can be tricky if you have any semblance of curves. if you can, try this one on in a store before buying. for reference: i am 5'7"", have broad shoulders, am pear shaped (i have hips and a good sized rear end), 34b bust, weigh 145 lbs., and generally wear a size 6 or 8 for tops and bottoms. the size 8 fit"
17738;0,0129007459871983;43;Tops;Fine gauge;895;0;5;1;"This is a beautifully made sweater. i bought this sweater in ivory yesterday; i wore it today and received many compliments. i think the sweater is adorable. it?s soft and warm; the neck is perfect, i like that it?s not as restrictive as a turtleneck. the long sleeves add character and help to make it interesting. i highly recommend it?i?m looking for a black one,"
14402;0,0129172769323388;29;Tops;Blouses;835;0;4;1;Very cute top. does require a strapless bra as the straps are further out than most tops, and they also tend to fall down. also, while the top fit well, the top button gaps are far apart and tended to separate to show my chest. easy fix with a snap sewed in.
3308;0,0129192965130461;38;Tops;Knits;854;0;5;1;"This shirt is absolutely beautiful! the front is very thin and delicate, but wearing a nude bra underneath, you can't see a thing. i did need to add a snap between the top two buttons to avoid the chest ""gap"" but the back of the shirt offers enough stretch that it doesn't appear to ""pull"" at all. it's hard to find a button down that fits nicely when your short waisted and large chested. this one is it!!!!"
14766;0,0129440683796217;60;Tops;Blouses;836;4;2;0;"This is the first hd in paris top i haven't loved. high hopes for this top since i love the brand and the color. this was an online only item so i guessed at the size, typically order a 4 petite. ordered the 4 regular since the length was already quite short in the regular length. it was oddly constructed, small in the arms but boxy and oddly bell shaped bottom. the lining was tough to keep straightened while trying to put it
on. too bad, but it went back"
9701;0,0129866929555686;41;Bottoms;Skirts;988;3;4;1;"I opened the package and loved this skirt immediately. i held it up and the waist is tiny. i'm usually a size 6 but sometimes go for a size 8 at retailer (i'm 5'6"" and 126 lbs). i would have needed at least 4 extra inches in the waist band to close the zipper...i wonder if this is a british size 8 or something. this 8 is closer to a 4. really disappointed."
11351;0,0130248721561637;58;Tops;Sweaters;936;0;5;1;Absolutely beautiful. as soon as i saw the color i had to have it. looks great. i am 5 ft 2 in the color is beautiful. excellently made. very comfy. hood is not bulky
19308;0,0130646319848278;31;Dresses;Dresses;1110;0;5;1;It's a casual dress with a luxurious feel. very flowy, but the back panel gives it a bit more structure. i like that it graces my body without showing any lumps. i will very much appreciate it on hot days! i'm anticipating a big of headache when ironing it, but i appreciate that it's not dry clean only. i'm on the shorter side of average height and it hits me mid-thigh.
15494;0,0130977776805421;70;Tops;Knits;863;0;4;1;I first saw this tees paired with a skirt (blue and white stripes on the website). i immediately like the unique shape around the shoulder, v-neck line with a gap to the sleeves. even the color is white, it looks very appealing to me, simple yet unique. i bought the tees in white and black colors. i expected the white one to be sheer, but not the black one. even with a nude bra, i can slightly see the bra shape inside the tees. the size is running large. i usually wear size s with retailer. i got
20340;0,0130978874654467;30;Tops;Blouses;824;3;5;1;I absolutely love this top!! i bought the ivory color, and i am definitely considering buying the black as well! it feels true to size, but i did size up only because i like my tops to fit a little generous and flowy. i can't wait to wear this top all season long!
15681;0,013151168736723;59;Tops;Knits;865;0;4;1;When i got this top in the mail i was impressed by the colors. they were very vibrant and i loved the feel of the material as well. however the top did not look good on. i have an hourglass figure with a dd+ bust, and the peplum just made me look like i didn't have a waist. the arm holes were also very big and showed my bra. overall i think this is a very cute top, but would probably be better on women with more athletic figures.
23095;0,0131907339457888;29;Dresses;Dresses;1095;5;5;1;This dress is very sweet and summery. i disagree with all the other reviewers who complain about their not being enough room in the chest. i wear a double d and i didn't notice any pulling, which is definitely a problem i've experienced in other button down dresses. i also appreciated that the straps were wide enough to cover a bra - though i definitely will have to have them shortened. the color is not particularly vibrant (kind of a soft yellow thoat might not be flattering on every skin tone)
19134;0,0132744167714498;29;Bottoms;Jeans;1035;3;5;1;I am short and curvy and pilcro has the best fitting, most comfortable and most cute jeans around. i buy exclusively pilcro now. these jeans were excellent.
1933;0,0132785747549627;44;Bottoms;Jeans;1030;0;5;1;Great jeans, great cut, great fit & i love the distressed look. the rise was higher than i thought but not a deal-breaker. i typically wear 26 in most brand of jeans & got these in 26.
15651;0,0132898241579734;51;Dresses;Dresses;1076;1;4;1;Dress is lovely - the sleeves were shorter than i thought but otherwise nice fabric and very pretty cut!!
