s.no;age;department_name;class_name;clothing_id;alike_feedback_count;rating;recommend_index ;review_text
7188;40;Dresses;Dresses;1078;3;5;1;"This was a rare full-price purchase for me. i do think that it runs slightly large, but that is part of the ""look"" of this dress. i considered sizing down to an xs for more definition at the waist, but they didn't have one in store so i decided to stick with my regular s. i look forward to wearing this with sandals while summer is still sweltering, but i also think it will transition well with tights, boots, and a cardigan when temps start cooling off."
7211;47;Dresses;Dresses;1078;1;5;1;"This is a really cute and flattering dress on me. i am 5'4"" 120 lbs and the 4 is a perfect fit. i am a little busty but the empire seam brings the dress back in slightly below my chest so it does not tent out.the asymmetrical hem makes it really flowy when you walk. the under dress is a lightweight fabric in a sheath cut that is shorter than the over dress which is a fun detail. the over dress material is somewhat gauzy and it moves as you move. the pockets are positioned in the front which is a"
7242;39;Dresses;Dresses;1078;8;4;1;Someone returned my size so i got to try it on in store. the cut is very flattering, the material is stretchy. the lace part is nicely made too. overall great piece. the petite waist did hit me a little higher than on model, i have a regular torso and short legs (and overall usually need petite)
7274;33;Dresses;Dresses;1078;8;5;1;"I love this dress! it is beyond flattering! i tried the south shore dress on earlier this year but found it too short for my taste. this however.. is the same cut on top, but longer in the skirt! yes, please! i purchased the turquoise, which is exactly as pictured! just beautiful! hits at my shins. for reference, i'm 5'6"", 136 lbs and ordered a size small."
7275;28;Dresses;Dresses;1078;3;5;1;"This romper is fabulous! i bought it in lime, and the color is great and perfect for summer. i do agree with the other reviewers that it's hard to get in and out of the sleeves (hence giving it only 4 starts for quality#, but the struggle is worth it. the fabric is lightweight and silky, so it feels cool and soft; it feels like wearing pjs. it's also very flattering with the bow just at the waist; it hides a not-so-flat tummy. i'm 5'4"", between 135 and 140, and curvy #very busty specifically), a"
7316;33;Dresses;Dresses;1078;0;5;1;"I saw this dress in the store and immediately grabbed it. i think that if i'd only seen it online i wouldn't have looked at it twice. in person, the fabric is so beautiful, a shining and classy velvet crinkle that could go way way dressy with the right accessories. this dress runs large, like all of floreat's items. i am 5'2"" 110# and normally wear an xs or 0, but had to size down to xxs petite for the right fit (like on the model). the only drawback is dry clean only. based on the content of th"
7342;46;Dresses;Dresses;1078;0;5;1;I am not sure who in the world could really wear this as a dress without belting it...definitely a super weird cut. extreme a-frame. the fabric is just absolutely gorgeous and it is so well made otherwise. i thought about trying to size down but it would be too small in the shoulders for sure. i am going to keep anyway. i've already worn it with jeans and a t-shirt and as a topper with a denim shirt dress. it actually looked fantastic with both. i'll get a lot of wear out of it, just not the way
7344;28;Dresses;Dresses;1078;5;5;1;A fun, casual romper. i loved the pink color (not usually my thing), which looks great with darker skin. like another reviewer said, the waist is quite small so i would recommend sizing up one or two sizes (i took a size 6 in this, but am usually a 2/4) - this will make the top part a bit blousy, but i think that adds to the appeal/ look.
7364;54;Dresses;Dresses;1078;0;2;0;"Frumpy - looked like a nightgown on me; maybe  better on someone younger ..."
7396;70;Dresses;Dresses;1078;0;5;1;Lush eye catching print. saw it, tried it on and had to have it, full price or not. very comfortable. bought one size down and it fit perfectly.
7408;62;Dresses;Dresses;1078;2;5;1;I want this in every color! fits tts...so comfortable, flattering, and fabric feels like it will hold up well (fingers crossed). love love love.
7459;61;Dresses;Dresses;1078;1;4;1;I love this dress and have already worn it a couple times since purchasing. it is great because it has sleeves and i don't have to wear a sweater with it! my only complaint is the lining on the inside is pretty form fitting. i would have liked it to be more flowy like the dress.
7519;27;Dresses;Dresses;1078;10;4;1;The fit and style of this dress are beautiful. it's a bouncy fabric that is light and comfortable. i really wanted to love it, but the color just didn't work for me. the pictures make it look like it's a nice cream color, but it's very tan and i can't pull it off with my coloring.
7524;27;Dresses;Dresses;1078;0;3;1;I wanted to love this dress, the open back, the lightweight fabric, and fun print. perfect for spring and summer. it could be i'm too tiny for this dress, but the front of the dress wasn't flattering. it just hung and there was an odd tuck in the waist that made it look like it ballooned out under my chest above my waist.
7530;39;Dresses;Dresses;1078;0;5;1;This is the perfect dress to wear casual or dress up a bit - perfect for fall and super comfy!
7531;35;Dresses;Dresses;1078;0;5;1;Beautiful dress, stretch material makes sure it fits the figure nicely. great value.
7533;50;Dresses;Dresses;1078;0;5;1;I saw this dress in the store window and gave it a try. i found it to be super flattering and feminine. the bodice is form fitting and the skirt flares out to a full skirt. the colors are fun and vibrant. the neckline is a bit low for work but perfect for evening. it is true to size.
7551;57;Dresses;Dresses;1078;19;4;0;I was hoping this dress was a bit thicker, but when i tried it on the fabric was very thin and sheer. because of the body skimming design, this dress likely won't work on many without some serious spanx or body trimming hosiery. if you work out and are very fit, you might like it, but i don't so i'm not that brave! lol
7559;36;Dresses;Dresses;1078;0;3;1;"Such a cute dress but it runs large. i'm 5'4"" 130 lbs and am typically a size 4 can wear a size 2 in certain clothes. i tried on the xs and it was still too big. i would of bought it in an xxs but they are sold out. really a comfy laid back dress that would be comfortable in summer. if they get more xxs i'll buy it."
7566;42;Dresses;Dresses;1078;2;4;1;Very cute summer dress. it runs a bit large and it doesn't give you shape. but, it's good for me to hide my belly fat. the dress is so comfortable to wear. i didn't know that it has pockets, so that was a pleasant surprise (i always love pockets). overall, it's a perfect summer dress.
7575;52;Dresses;Dresses;1078;0;5;1;Fun dress to wear, i received numerous compliments on the color and design of the dress. very flowy and comfortable, love it. i wish i had bought a size smaller than i normally wea because it runs large, but an overall great dress
7632;29;Dresses;Dresses;1078;0;5;1;
7640;64;Dresses;Dresses;1078;1;5;1;Comfortable and true to size. it fits more fitted on the top and very swingy/flowy on the bottom. i got a petite and the length was perfect. if you like to wear very high heels you may want to go with a regular as its a tad short.
7641;25;Dresses;Dresses;1078;1;4;1;"Loved the fabric of this dress, and the slip that comes with it. i wish the waist line fit a little better though. i am 5'4"" with an athletic build and it looked really boxy on me. i was so disappointed. thought i could synch it in to make it work, but think this is a return."
7701;42;Dresses;Dresses;1078;1;4;1;Great dress. looking forward to wearing it with tights. fits great.
7707;34;Dresses;Dresses;1078;0;2;0;Was excited to receive this dress as i got it at a great price on sale. the colors are great and it fits pretty good, but it came without a slip!!  so disappointing to not receive the entire dress!!  hence the 2 stars. may send it back for this reason.
7713;41;Dresses;Dresses;1078;0;5;1;Omg i am absolutely in love with this dress, i saw it on line and knew immediately that i had to have it! i decided to go into the store to try it and it looks even better on than it did on the website. the a-line shape is very flattering and the retro pattern and colors are amazing! the only down side if there even is on is that it is a little tight across the chest but i am a 36ddd so sometimes that happens, i just took a large rather than my usual medium. other than that, this dress is my fav
7770;34;Dresses;Dresses;1078;0;5;1;This is my favorite kind of dress: comfortable, unique, and can dress up or down. i am 5'2 and 100 lb, and bought the regular 0 because there were no petites available. it fit perfectly! the material is buttery soft and looks like it will hold up well, and i love the orange-red color. the tie detail makes this dress stand out and i find the cut very flattering. so glad i ordered it!!
7855;71;Dresses;Dresses;1078;0;5;1;"This dress is comfortable as well as flattering, which does not happen very often!
looks good with navy tights too!"
7903;58;Dresses;Dresses;1078;8;5;1;"This dress has the same bold, great color as the picture. although it has a big ""swing"" to it, because the upper portion is a bit fitted, i don't feel like i look pregnant. the material is extremely well done and i like the above the knee styling. i'm very happy i bought it."
7933;36;Dresses;Dresses;1078;0;3;0;"I love the look of this dress but the length feels a little awkward which might be my height (5'4""). i'm thinking about having it altered, not sure if i will do that or return it. i love the colors and the back cut out, it may be a better length for taller individuals."
8019;48;Dresses;Dresses;1078;0;3;1;I didn't hate it, but i don't love it. i purchased it in 2 colors b/c i thought i'd fall in love. it is just ok. maybe it's b/c i have a larger chest, but i felt like it was too small in the chest area and too loose elsewhere. not the maxi fit i normally go for. however, the material is great and it's a simple sunday dress to lounge around in and run errands comfortably.
8032;31;Dresses;Dresses;1078;1;2;0;"It just isn't that flattering on me. it looks kind of old and dingy, even though it's brand new. it fits fine, but doesn't do much to highlight my curves. it just kind of hangs there. the length is somewhat awkward (i bought the petite version). maybe it would look good on someone tall and skinny, like the model. it's gathered around the stomach area and longer in the front, which reminded me of maternity wear. it does appear to be pretty well made; top part is lined. overall it's not terrible,"
8035;25;Dresses;Dresses;1078;2;4;1;"Beautiful, washes well in a garment bag on delicate. has little clips in the shoulders to hold bra straps which is crucial with the scoop back if you have sloped shoulders like mine. i normally go for a large, but was definitely a medium in this dress. 32"" waist, 32f bra, 
only minor complaint is that the pattern (at least on the red, though probably also on the others) is just printed on the outside and the inside is faded almost white, so since the sides of the dress are slightly longer than"
8063;48;Dresses;Dresses;1078;0;4;1;I like this dress because it's the perfect shape on me and i think the design is modern and cute. i got the red and i really like the pattern and the subtle tulle edging. the material is a little stretchy and substantial and there's also a lining. i wore it with little booties like the model and tights and a cropped moto jacket and loved the outfit. i am short, small chest, but somewhat broad shouldered, the empire waist would not work on larger chested women with hourglass figures.
8157;67;Dresses;Dresses;1078;9;5;1;I got this dress in the mail today, and it's one of the best dresses i've ever gotten at retailer.. the material is of high quality and feels silky against the skin. the fit is true to size for maeve, and is so flattering. for reference, i'm thin (116 lbs), but curvy and usually order a regular xs. in maeve, i'm usually an xsp, and the xsp fit perfectly. it looks good with a wide cream colored crocheted belt (also from retailer), or on its own.
8173;61;Dresses;Dresses;1078;5;5;1;"The picture of this dress does not do the colors justice. they are a very rich green and pink, which were a popular color combination in the 70's. (i was there!) it adds an authentic touch to this great peasant dress. the black and white embroidery on the bib gives it a modern flair. i am 5'6"", 130 pounds, and usually wear a size six in a dress. the small fit perfect. while the dress is billowy, the square on the back pulls it in, so it doesn't fit like a tent. perfect for boots now, sandals lat"
8184;54;Dresses;Dresses;1078;0;5;1;I got it in tangerine. beautiful, soft material, very flattering and cute dress. i am petite, so i will have to do some alterations to make the top port shorter, but other than that it's a perfect dress.
8211;64;Dresses;Dresses;1078;0;4;1;This dress has a beautiful pattern, and is perfect for work. i wore it with tights recently, but could see wearing it in the summer too- the print is versatile enough that it translates. the top layer is sort of a crepe like fabric and there were a lot of strings that needed to be cut that were hanging off. i got many compliments the first time i wore this! i'm very curvy and i got the medium and it fits great and is very flattering.
8212;53;Dresses;Dresses;1078;0;5;1;Great dress that can be casual or dressy. well-made and comes with.a built-in slip.
8241;57;Dresses;Dresses;1078;1;3;1;This dress is cute and i will wear it to work. i only decided to keep it because i got the sale price and an additional 40 percent off. the print is cute, but a little bit odd, it's a swimmer in a cap. the tie is fun.
8246;31;Dresses;Dresses;1078;2;3;0;"This was the dress i was most excited about in the new arrivals, but sadly it didn't live up to expectations. unlike the first two product photos, the dress is baggy and empire waisted, and the black trim is the thin one shown in the last two product photos. the dress is slip on with no zipper or tie, and on me there were about 4+ inches to spare at the waist. all in all it felt sloppy, such a shame as i would have loved the original design online.

anyhow, i wanted to share photos of the real"
